tx_hash,block_number,timestamp,tx_position_in_block,from_address,token_in,token_out,amount_in,amount_out,gas_price,pool_address,token_launch_block,is_contract_caller,usd_value_in,usd_value_out,gas_cost_usd
0x1a2b3c4d,12345,1640995200,1,0xabc123,USDC,SHIB,1000,2000000,120,0xpool1,12340,false,1000.0,20.0,57.6
0x2b3c4d5e,12345,1640995200,2,0xdef456,USDC,SHIB,5000,9500000,180,0xpool1,12340,true,5000.0,95.0,144.0
0x3c4d5e6f,12345,1640995200,3,0xabc123,USDC,SHIB,1000,1800000,150,0xpool1,12340,false,1000.0,18.0,72.0
0x4d5e6f7g,12346,1640995212,1,0x123abc,ETH,USDC,1,3200,100,0xpool2,10000,false,3200.0,3200.0,48.0
0x5e6f7g8h,12346,1640995212,2,0x456def,BTC,ETH,0.1,2.8,110,0xpool3,8000,false,6400.0,8960.0,52.8
0x6f7g8h9i,12347,1640995224,1,0x789ghi,USDC,NEWTOKEN,10000,1000000,250,0xpool4,12347,true,10000.0,5000.0,200.0
0x7g8h9i0j,12347,1640995224,2,0x987fed,USDC,NEWTOKEN,5000,480000,280,0xpool4,12347,true,5000.0,2400.0,224.0
0x8h9i0j1k,12347,1640995224,3,0xcba321,USDC,NEWTOKEN,15000,1400000,300,0xpool4,12347,true,15000.0,7000.0,240.0
0x9i0j1k2l,12348,1640995236,1,0x111aaa,USDC,SHIB,2000,3800000,95,0xpool1,12340,false,2000.0,38.0,45.6
0xa0j1k2l3,12348,1640995236,2,0x222bbb,USDC,SHIB,3000,5600000,105,0xpool5,12340,false,3000.0,56.0,50.4
0xb1k2l3m4,12349,1640995248,1,0x333ccc,SHIB,USDC,4000000,2100,130,0xpool1,12340,false,40.0,2100.0,62.4
0xc2l3m4n5,12349,1640995248,2,0x333ccc,USDC,SHIB,2000,3900000,135,0xpool1,12340,false,2000.0,39.0,64.8
0xd3m4n5o6,12350,1640995260,1,0x444ddd,ETH,USDC,2,6300,125,0xpool2,10000,false,6400.0,6300.0,60.0
0xe4n5o6p7,12350,1640995260,2,0x555eee,ETH,USDC,1.5,4700,130,0xpool6,10000,true,4800.0,4700.0,104.0
0xf5o6p7q8,12350,1640995260,3,0x666fff,ETH,USDC,3,9400,140,0xpool2,10000,true,9600.0,9400.0,112.0
0x06p7q8r9,12351,1640995272,1,0x777ggg,USDC,ALTCOIN,5000,25000,200,0xpool7,12351,true,5000.0,12500.0,160.0
0x17q8r9s0,12351,1640995272,2,0x888hhh,USDC,ALTCOIN,3000,14500,220,0xpool7,12351,true,3000.0,7250.0,176.0
0x28r9s0t1,12352,1640995284,1,0x999iii,USDC,ETH,6400,2,115,0xpool2,10000,false,6400.0,6400.0,55.2
0x39s0t1u2,12353,1640995296,1,0xaaabbb,NEWTOKEN,USDC,500000,4800,160,0xpool4,12347,false,2500.0,4800.0,76.8
0x4at1u2v3,12354,1640995308,1,0xbbbccc,USDC,SHIB,8000,15000000,90,0xpool1,12340,false,8000.0,150.0,43.2
0x5bu2v3w4,12355,1640995320,1,0xcccdd,ETH,ALTCOIN,1,12500,175,0xpool8,12351,false,3200.0,6250.0,84.0
0x6cv3w4x5,12356,1640995332,1,0xdddee,ALTCOIN,ETH,15000,1.1,180,0xpool8,12351,false,7500.0,3520.0,86.4
0xsandwich1,12360,1640995400,1,0xattacker1,USDC,SHIB,1000,2000000,100,0xpool1,12340,false,1000.0,20.0,48.0
0xvictim001,12360,1640995400,2,0xvictim1,USDC,SHIB,5000,9000000,120,0xpool1,12340,false,5000.0,85.0,57.6
0xsandwich2,12360,1640995400,3,0xattacker1,SHIB,USDC,2200000,950,150,0xpool1,12340,false,1000.0,950.0,72.0
0xsandwich3,12361,1640995412,1,0xbot123,ETH,NEWTOKEN,2,1000000,300,0xpool4,12347,true,1600.0,5000.0,240.0
0xvictim002,12361,1640995412,2,0xinnocent,ETH,NEWTOKEN,1,450000,150,0xpool4,12347,false,3200.0,2000.0,72.0
0xsandwich4,12361,1640995412,3,0xbot123,NEWTOKEN,ETH,1100000,2.2,80,0xpool4,12347,true,1700.0,2000.0,64.0
0xfront_run,12362,1640995424,1,0xsandwich_bot,USDC,SHIB,2000,3800000,280,0xpool1,12340,true,2000.0,38.0,224.0
0xunrelated1,12362,1640995424,2,0xrandom_user,ETH,USDC,1,3100,150,0xpool2,10000,false,3200.0,3100.0,72.0
0xunrelated2,12362,1640995424,3,0xanother_user,BTC,ETH,0.05,1.4,140,0xpool3,8000,false,3200.0,4480.0,67.2
0xvictim_nc,12362,1640995424,4,0xinnocent_trader,USDC,SHIB,8000,14000000,180,0xpool1,12340,false,8000.0,120.0,86.4
0xunrelated3,12362,1640995424,5,0xlegit_trader,NEWTOKEN,USDC,200000,1900,160,0xpool4,12347,false,1000.0,1900.0,76.8
0xback_run,12362,1640995424,6,0xsandwich_bot,SHIB,USDC,4200000,2200,120,0xpool1,12340,true,2100.0,2370.0,96.0
0xcross_dex1,12363,1640995500,1,0xcross_bot,USDC,ETH,3200,1,280,0xpool_uniswap,10000,true,3200.0,3200.0,224.0
0xcross_victim,12363,1640995500,2,0xtrader123,USDC,ETH,16000,4.9,150,0xpool_sushiswap,10000,false,16000.0,15200.0,120.0
0xcross_dex2,12363,1640995500,3,0xcross_bot,ETH,USDC,1,3400,180,0xpool_uniswap,10000,true,3200.0,3600.0,144.0
0xequiv_front,12364,1640995512,1,0xstable_bot,USDC,SHIB,2000,4000000,260,0xpool1,12340,true,2000.0,40.0,208.0
0xequiv_victim,12364,1640995512,2,0xlegit_user,USDT,SHIB,8000,15000000,140,0xpool1,12340,false,8000.0,130.0,112.0
0xequiv_back,12364,1640995512,3,0xstable_bot,SHIB,USDT,4200000,2100,120,0xpool1,12340,true,2100.0,2400.0,96.0
0xweth_front,12365,1640995524,1,0xweth_mev,WETH,NEWTOKEN,1,500000,300,0xpool4,12347,true,3200.0,2500.0,240.0
0xweth_victim,12365,1640995524,2,0xeth_holder,ETH,NEWTOKEN,2,900000,180,0xpool4,12347,false,6400.0,4200.0,144.0
0xweth_back,12365,1640995524,3,0xweth_mev,NEWTOKEN,WETH,550000,1.1,150,0xpool4,12347,true,2750.0,3700.0,120.0
